epoch,acc,loss,val_acc,val_loss
0,0.33771929859417921,2.016421954534207,0.77906976189724231,0.77644911616347556
1,0.7880116962549979,0.64771021214144964,0.89534883582314784,0.3272008396858393
2,0.88450292362804306,0.33073216694140295,0.95348836793455971,0.21956383835437687
3,0.93567251461988299,0.19889495696066417,0.9186046580935634,0.21225524364515794
4,0.95467836257309946,0.14298896823209106,0.9418604609578155,0.19012053068294082
5,0.9707602339181286,0.097007353719302095,0.93023256507030749,0.17263030901897786
6,0.97368421052631582,0.09389019591940774,0.95348837209302328,0.16686927752439365
7,0.98391812865497075,0.070072654830782038,0.94186046511627908,0.16024475873902785
8,0.98830409391581664,0.047547886899688786,0.96511627906976749,0.13885931809281193
9,0.98830409356725146,0.042476849085841963,0.95348837209302328,0.13034068342558172
10,0.99561403508771928,0.031284289685083413,0.96511627906976749,0.12684527871220611
11,0.98976608187134507,0.032881374540330285,0.96511627906976749,0.11862970022268074
12,0.99269005847953218,0.024677475237652485,0.97674418604651159,0.089497313596481498
13,0.99707602339181289,0.03027888302478874,0.95348836793455971,0.095982705091321188
14,0.99415204678362568,0.021925053134429873,0.95348836793455971,0.11679253190062767
