epoch,acc,loss,val_acc,val_loss
0,0.43442622999675939,1.2438850051066914,0.625,0.74115538597106934
1,0.7540983626099883,0.56556787696041044,0.6875,0.52362644672393799
2,0.86065573281929142,0.35865243731952107,0.875,0.29615923762321472
3,0.89344262490507032,0.26076999746385165,0.875,0.2139686644077301
4,0.95901638757987095,0.1313424027356945,0.9375,0.16272477805614471
5,0.98360655737704916,0.08509551455862209,0.9375,0.16320519149303436
6,0.95901638757987095,0.086032729534829253,0.9375,0.13325971364974976
7,1.0,0.030588521698459249,0.9375,0.10364434123039246
8,0.98360655737704916,0.043752554315524023,1.0,0.087012141942977905
9,1.0,0.02678280633675759,1.0,0.069198921322822571
