epoch,acc,loss,val_acc,val_loss
0,0.0048420820953009791,7.7651960104359539,0.041584158423218394,7.244535226160937
1,0.10047320346765633,6.2689420124006521,0.21584158433545933,5.9711660120746881
2,0.41641906024179953,3.5287760761530076,0.49801980245231403,3.9570869138925384
3,0.69439859142053684,1.6092431293903988,0.60495049552162095,2.895603297488524
4,0.85979971389664511,0.68620665279095405,0.63168316808077374,2.6581916244903412
5,0.92307692308348244,0.35548262544246062,0.62178217809979275,2.8024172556282272
6,0.94266534611194119,0.25470221832376561,0.62277227710969374,2.770295999545862
7,0.95411026731659843,0.18771299122829332,0.63861386126810959,2.7868085341878457
8,0.96038296457642025,0.16226505641071687,0.62376237611959473,2.8738724005104292
9,0.96489490471723727,0.14406646680055285,0.62772277263131471,2.9079057278019369
