epoch,acc,loss,val_acc,val_loss
0,0.55454545346173378,0.76803038662130185,0.8461538553237915,0.42321571707725525
1,0.96363636038520117,0.19749623455784537,0.8461538553237915,0.3737519383430481
2,0.98181818181818181,0.089322113652120935,0.8461538553237915,0.28975918889045715
3,1.0,0.043776161731644107,0.76923078298568726,0.22196176648139954
4,1.0,0.022596736167642205,0.92307692766189575,0.17637063562870026
5,1.0,0.010168137528340926,0.92307692766189575,0.15893800556659698
6,1.0,0.0089228776368227864,1.0,0.14815691113471985
7,1.0,0.0086119739508086993,1.0,0.14051873981952667
8,1.0,0.0096984864720566707,1.0,0.13121709227561951
9,1.0,0.004968041816027835,1.0,0.12048257887363434
